Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,70.759995,71.089996,69.039993,69.769989,6328600,59.119984
2013-03-01,67.779991,71.309998,65.559998,70.75,4594900,59.950394
2013-02-01,72.980003,72.980003,65.999992,68.12999,6169400,57.619354
2013-01-02,70.080002,74.999992,68.860001,74.139999,3535000,62.702175
2012-12-03,69.369995,69.699997,64.819992,68.349998,5253000,57.805416
2012-11-01,73.309998,74.07,68.00,68.300003,4461200,57.653976
2012-10-01,80.839996,82.469994,72.919998,73.699989,3480100,62.212257
2012-09-04,78.550003,89.949989,77.160004,80.110001,3898200,67.623131
2012-08-01,72.660004,79.019997,71.580002,78.800003,3350600,66.421303
2012-07-02,64.239998,74.360001,63.630001,72.300003,4287400,60.942387
2012-06-01,64.659996,70.62999,59.069996,64.439995,5448900,54.317112
2012-05-01,75.819992,77.099991,63.149998,66.75,6171400,56.163342
2012-04-02,78.050003,81.610001,74.489998,75.760002,3904500,63.744339
2012-03-01,82.969994,84.689995,76.599991,79.469994,4071700,66.865921
2012-02-01,74.459999,87.720001,73.419998,82.529991,4903500,69.338799
2012-01-03,69.949997,78.449997,69.300003,73.979996,4302900,62.155396
2011-12-01,71.349998,74.00,63.630001,67.98999,4145700,57.122803
2011-11-01,66.730003,73.150002,62.900005,71.699997,5585200,60.239819
2011-10-03,50.619991,76.050011,47.970005,71.329994,7024700,59.822651
2011-09-01,66.339989,66.919998,49.570004,51.219994,6648500,42.956902
2011-08-01,81.93,82.279999,59.990002,66.119995,7090400,55.357365
2011-07-01,77.589996,86.709999,76.050011,80.57,4724900,67.455276
2011-06-01,72.290001,78.389999,68.050003,78.209991,4542200,65.479416
2011-05-02,77.019997,77.809998,65.089989,72.580002,6960500,60.671989
2011-04-01,80.00,81.989998,73.340004,76.689995,4643800,64.107674
2011-03-01,80.68,82.799995,72.349998,79.270004,4666300,66.264381
2011-02-01,74.260002,81.980011,72.449989,79.569992,5547600,66.423492
2011-01-03,68.139999,74.139999,63.459995,73.900002,5208500,61.690289
2010-12-01,61.999996,67.719994,60.879997,67.25,4167700,56.139
2010-11-01,54.660004,63.879997,53.900002,61.290005,6864300,51.07188
