Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.129923,16.139935,15.959929,16.049927,984000,11.344909
2013-03-01,16.019928,16.249931,15.549922,16.119925,592900,11.394386
2013-02-01,15.559934,16.329927,15.249934,16.049927,509100,11.062526
2013-01-02,15.08994,15.779925,14.999933,15.539934,741400,10.711009
2012-12-03,16.139935,16.239931,14.699933,14.869926,971800,10.249202
2012-11-01,16.449934,16.619928,14.249938,16.139935,1070900,10.846454
2012-10-01,16.53993,16.83993,16.349926,16.459934,497700,11.061502
2012-09-04,17.019924,17.779919,16.339928,16.589928,669200,11.148861
2012-08-01,17.039923,17.439919,16.569929,17.009924,369400,11.184773
2012-07-02,17.09992,17.339933,16.779922,16.989923,301000,11.171622
2012-06-01,16.51992,17.399921,16.409924,17.019924,576000,11.191349
2012-05-01,17.339933,17.42992,16.399935,16.599928,429000,10.658208
2012-04-02,17.719919,17.919924,16.999926,17.349922,417400,11.139751
2012-03-01,18.159927,18.58992,17.359922,17.719919,579900,11.377313
2012-02-01,17.499928,18.569912,17.489918,18.149914,575800,11.400753
2012-01-03,17.889925,17.929924,17.289925,17.40992,812200,10.93593
2011-12-01,17.999922,18.199915,17.399921,17.75993,526000,11.155787
2011-11-01,17.359922,18.109917,16.749924,18.059919,532400,11.090725
2011-10-03,17.09992,17.999922,16.529932,17.569914,426900,10.789809
2011-09-01,18.729927,19.279907,16.629938,17.179918,606500,10.55031
2011-08-01,17.70993,18.889919,16.249931,18.679918,550500,11.242523
2011-07-01,17.869926,18.31992,17.269926,17.509928,276000,10.538363
2011-06-01,19.21991,19.21991,17.499928,17.789928,421400,10.706882
2011-05-02,18.459913,19.25992,17.849926,19.25992,319700,11.346795
2011-04-01,17.319923,18.399918,17.289925,18.359919,286600,10.816567
2011-03-01,16.939926,17.469929,16.159935,17.289925,467600,10.186191
2011-02-01,16.149923,17.079933,15.989928,16.889917,415200,9.715575
2011-01-03,17.399921,17.75993,15.369941,16.009928,628800,9.209379
2010-12-01,18.479925,18.489914,16.009928,17.319923,612500,9.962927
2010-11-01,18.779913,19.069914,18.249922,18.289919,360500,10.285533
2010-10-01,18.669918,18.799913,18.189926,18.699919,372200,10.5161
2010-09-01,19.279907,20.799906,18.449926,18.699919,650100,10.5161
