Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.75,11.77,11.66,11.75,401600,10.087751
2013-03-01,11.31,11.78,11.27,11.74,155700,10.079166
2013-02-01,11.34,11.57,11.11,11.35,123500,9.744339
2013-01-02,10.81,11.39,10.72,11.28,162300,9.642173
2012-12-03,10.60,10.65,10.39,10.59,180300,9.05236
2012-11-01,11.14,11.38,10.01,10.59,158300,9.05236
2012-10-01,11.37,11.57,11.04,11.14,114500,9.058424
2012-09-04,10.93,11.57,10.90,11.34,151800,9.221053
2012-08-01,10.85,11.10,10.60,10.95,108500,8.903926
2012-07-02,10.53,10.88,10.39,10.80,171100,8.741855
2012-06-01,10.18,10.58,9.95,10.55,142900,8.539497
2012-05-01,11.07,11.20,10.10,10.36,150100,8.385705
2012-04-02,10.95,11.14,10.60,11.07,154500,8.91884
2012-03-01,10.77,11.06,10.53,10.98,134100,8.84633
2012-02-01,10.46,10.84,10.45,10.74,137800,8.652967
2012-01-03,9.79,10.51,9.74,10.42,171100,8.356031
2011-12-01,9.66,9.84,9.30,9.64,230100,7.730532
2011-11-01,9.93,10.43,9.00,9.65,161800,7.738551
2011-10-03,9.15,10.49,8.63,10.19,125700,7.769444
2011-09-01,10.15,10.20,9.14,9.21,156000,7.022235
2011-08-01,10.89,10.93,9.19,10.10,140200,7.700823
2011-07-01,11.12,11.40,10.65,10.79,124900,8.184686
2011-06-01,11.28,11.28,10.54,11.14,129400,8.450176
2011-05-02,11.46,11.52,10.93,11.26,102900,8.541202
2011-04-01,11.40,11.46,10.92,11.45,105600,8.647397
2011-03-01,11.59,11.59,10.80,11.37,107200,8.586979
2011-02-01,11.13,11.70,11.13,11.50,150800,8.685159
2011-01-03,10.78,11.25,10.77,11.08,150200,8.331861
2010-12-01,10.18,10.78,10.17,10.74,157800,8.076191
2010-11-01,10.30,10.61,9.88,10.09,176100,7.587409
2010-10-01,9.98,10.37,9.87,10.30,152000,7.473557
2010-09-01,9.23,10.06,9.23,9.94,125600,7.212345
2010-08-02,9.72,9.90,9.04,9.13,125100,6.624619
2010-07-01,9.07,9.84,8.84,9.65,107800,6.966345
2010-06-01,9.68,9.98,9.02,9.03,104100,6.518767
2010-05-03,10.80,10.87,8.00,9.72,168100,7.016879
2010-04-01,10.67,11.11,10.58,10.76,133300,7.730167
2010-03-01,10.05,10.69,9.97,10.54,115800,7.572116
2010-02-01,9.73,10.04,9.27,9.95,125500,7.14825
2010-01-04,10.16,10.41,9.69,9.73,135400,6.953638
2009-12-01,9.90,10.24,9.77,10.10,113200,7.218062
2009-11-02,9.59,10.30,9.50,9.83,111200,7.025104
2009-10-01,9.75,10.20,9.41,9.55,115100,6.625827
2009-09-01,9.44,10.13,9.21,9.77,110900,6.778464
2009-08-03,9.29,9.59,9.14,9.45,124900,6.556446
2009-07-01,8.46,9.43,8.04,9.26,131100,6.390559
2009-06-01,8.55,8.78,8.18,8.40,124200,5.79705
2009-05-01,8.13,8.61,8.02,8.44,121600,5.824656
2009-04-01,7.40,8.19,7.35,8.15,155700,5.59108
2009-03-02,6.60,7.82,6.00,7.52,221900,5.158886
2009-02-02,7.51,8.05,6.66,6.71,143700,4.603209
2009-01-02,7.98,8.61,7.36,7.60,152600,5.180087
2008-12-01,7.96,8.28,7.26,8.03,173700,5.473171
2008-11-03,9.67,9.67,6.94,8.02,149500,5.466356
2008-10-01,10.78,12.55,7.09,8.97,191700,5.752492
2008-09-02,12.25,12.30,10.46,10.78,145900,6.913251
2008-08-01,11.90,12.29,11.73,12.16,114400,7.79825
2008-07-01,11.75,12.16,10.92,11.88,118300,7.586807
2008-06-02,12.89,13.00,11.79,11.85,195400,7.567649
2008-05-01,12.91,13.35,12.72,12.89,93100,8.231813
2008-04-01,12.63,13.07,12.45,12.92,93700,8.219384
2008-03-03,12.64,12.82,11.64,12.51,129700,7.958552
2008-02-01,13.04,13.20,12.47,12.63,132800,8.034893
2008-01-02,13.96,13.97,11.76,13.10,146900,8.301085
2007-12-03,13.69,14.12,13.25,14.12,98300,8.947429
2007-11-01,14.90,15.22,13.00,13.58,100600,8.605247
2007-10-01,14.99,15.42,14.52,15.02,93300,8.93366
2007-09-04,14.62,15.18,14.28,14.95,88100,8.892025
2007-08-01,14.42,14.96,13.60,14.61,136600,8.689797
2007-07-02,14.91,15.40,14.35,14.50,78100,8.594795
2007-06-01,15.00,15.15,14.59,14.89,77200,8.825966
2007-05-01,14.60,15.00,14.56,14.95,83500,8.86153
2007-04-02,14.01,14.77,13.94,14.65,98000,8.654449
2007-03-01,13.68,14.15,13.42,14.02,103400,8.282279
2007-02-01,13.91,14.21,13.51,13.77,120300,8.134592
2007-01-03,13.85,14.00,13.60,13.91,141700,8.187801
2006-12-01,13.58,13.98,13.50,13.87,94500,8.164256
2006-11-01,13.94,14.37,13.33,13.63,121700,8.022985
2006-10-02,13.49,14.07,13.36,13.91,114400,7.758971
2006-09-01,13.24,13.55,13.05,13.52,111200,7.54143
2006-08-01,12.88,13.22,12.78,13.22,95100,7.374091
2006-07-03,12.96,13.06,12.49,12.95,87400,7.19553
2006-06-01,12.93,13.13,12.37,12.87,101200,7.151079
2006-05-01,13.33,13.53,12.66,12.90,87200,7.167748
2006-04-03,13.32,13.49,13.09,13.33,92000,7.378532
2006-03-01,13.18,13.41,12.92,13.30,88600,7.361927
2006-02-01,12.96,13.13,12.57,13.02,97900,7.206939
2006-01-03,12.61,13.09,12.55,13.03,132400,7.184234
2005-12-01,12.68,12.84,12.52,12.55,110500,6.919581
2005-11-01,12.91,13.40,12.52,12.63,107000,6.96369
2005-10-03,13.12,13.21,12.51,12.94,79700,6.753168
2005-09-01,13.13,13.39,12.93,13.12,80000,6.847106
2005-08-01,13.32,13.41,12.84,13.12,79300,6.847106
2005-07-01,12.89,13.35,12.84,13.29,74900,6.909713
2005-06-01,12.87,13.15,12.85,12.87,69900,6.691347
2005-05-02,12.61,12.96,12.48,12.85,63900,6.680949
2005-04-01,12.94,12.99,12.46,12.58,71400,6.514861
2005-03-01,13.08,13.35,12.70,12.87,78600,6.665044
